44423,44423,35000,0,1,3,18732,16528,5955087400
45535,45535,35000,0,1,3,19683,17783,6238572032
45813,45813,35000,0,1,3,19990,18949,6343680000
45952,45952,35000,0,1,3,20095,17824,6363715504
46021,46021,35000,0,1,3,20134,17864,6374071048
46056,46056,35000,0,1,3,20193,17438,6378060720
46064,46064,35000,0,1,3,20194,17915,6379258880
46068,46068,35000,0,1,3,20270,17693,6380091456
46070,46070,35000,0,1,3,20329,17531,6380321888
46071,46071,35000,0,1,3,20161,17719,6380826960
46072,46072,35000,0,1,3,20195,17520,6380829024
