nRows,nColumns,maxTime,threshold,seed,generations,initDuration,runDuration,maxMemory
6500,6500,60000,500,1,435,445,59608,131068624
6550,6550,60000,500,1,426,444,59598,133056992
6600,6600,60000,500,1,420,444,59651,135618152
6650,6650,60000,500,1,405,459,59627,137078240
6700,6700,60000,500,1,397,467,59678,142300512
6750,6750,60000,500,1,400,475,59601,144151552
6800,6800,60000,500,1,386,471,59595,146898704
6850,6850,60000,500,1,380,491,59575,147943936
6900,6900,60000,500,1,383,485,59610,151302496
6950,6950,60000,500,1,377,507,59556,152293376
7000,7000,60000,500,1,364,498,59645,155408224
7050,7050,60000,500,1,358,510,59522,156528128
7100,7100,60000,500,1,361,516,59619,159120736
7150,7150,60000,500,1,348,568,59559,160812032
7200,7200,60000,500,1,344,529,59634,163214688
7250,7250,60000,500,1,338,541,59606,165194752
7300,7300,60000,500,1,343,541,59472,168653128
7350,7350,60000,500,1,329,598,59574,169196544
7400,7400,60000,500,1,330,558,59529,172165472
7450,7450,60000,500,1,320,609,59476,174325912
7500,7500,60000,500,1,323,613,59560,177269584
7550,7550,60000,500,1,314,581,59505,177789952
7600,7600,60000,500,1,305,586,59499,181651968
7650,7650,60000,500,1,303,592,59570,183367320
7700,7700,60000,500,1,305,605,59449,185756160
7750,7750,60000,500,1,299,610,59440,189173600
7800,7800,60000,500,1,292,614,59445,189908480
7850,7850,60000,500,1,288,628,59559,191125512
7900,7900,60000,500,1,284,637,59466,195415688
7950,7950,60000,500,1,286,657,59429,200125616
8000,8000,60000,500,1,282,657,59436,201889792
8050,8050,60000,500,1,273,673,59430,204519088
8100,8100,60000,500,1,270,672,59520,206343168
8150,8150,60000,500,1,265,685,59328,208850608
8200,8200,60000,500,1,267,685,59413,210465280
8250,8250,60000,500,1,258,710,59441,214424576
8300,8300,60000,500,1,262,701,59459,216947888
8350,8350,60000,500,1,253,761,59289,219354120
8400,8400,60000,500,1,256,712,59429,222901728
8450,8450,60000,500,1,248,729,59489,224898736
8500,8500,60000,500,1,250,728,59481,227900424
8550,8550,60000,500,1,246,809,59329,229853872
8600,8600,60000,500,1,245,801,59256,231541768
8650,8650,60000,500,1,235,755,59409,235620320
8700,8700,60000,500,1,233,776,59358,236182528
8750,8750,60000,500,1,229,836,59210,240129536
8800,8800,60000,500,1,232,773,59427,242098352
8850,8850,60000,500,1,229,792,59335,244993024
8900,8900,60000,500,1,222,853,59249,248358400
8950,8950,60000,500,1,224,806,59357,251078832
9000,9000,60000,500,1,223,870,59261,252854792
9050,9050,60000,500,1,219,823,59362,256972768
9100,9100,60000,500,1,215,894,59227,259102896
9150,9150,60000,500,1,208,847,59298,260397568
9200,9200,60000,500,1,206,896,59147,260848640
9250,9250,60000,500,1,205,854,59209,266279280
9300,9300,60000,500,1,209,940,59251,271308448
9350,9350,60000,500,1,204,895,59191,273819648
9400,9400,60000,500,1,203,940,59324,277238784
9450,9450,60000,500,1,201,983,59111,279712416
9500,9500,60000,500,1,193,908,59251,281475584
9550,9550,60000,500,1,192,969,59254,286303744
9600,9600,60000,500,1,196,953,59319,288000672
9650,9650,60000,500,1,192,1009,59204,290383872
9700,9700,60000,500,1,173,943,59177,293922304
9750,9750,60000,500,1,184,955,59159,297155744
9800,9800,60000,500,1,186,955,59295,298296320
9850,9850,60000,500,1,180,1053,59158,302542848
9900,9900,60000,500,1,178,1036,59249,307047424
9950,9950,60000,500,1,176,992,59260,307610112
10000,10000,60000,500,1,175,1032,59220,311280128
10050,10050,60000,500,1,172,1014,59097,315932672
10100,10100,60000,500,1,171,1012,59221,318022816
